filename	class	min_x	min_y	max_x	max_y
n02111500_1603	Great_Pyrenees	0	357	223	466
n02111500_533	Great_Pyrenees	107	51	373	498
n02111500_241	Great_Pyrenees	187	56	314	254
n02111500_5897	Great_Pyrenees	17	23	428	490
n02111500_1777	Great_Pyrenees	154	75	499	373
n02111500_3835	Great_Pyrenees	19	47	480	374
n02111500_5935	Great_Pyrenees	63	81	426	330
n02111500_644	Great_Pyrenees	189	69	440	274
n02111500_6227	Great_Pyrenees	31	70	481	235
n02111500_7139	Great_Pyrenees	208	307	256	417
n02111500_297	Great_Pyrenees	97	206	326	374
n02111500_1170	Great_Pyrenees	26	6	346	335
n02111500_1358	Great_Pyrenees	1	0	452	374
n02111500_2651	Great_Pyrenees	1	94	227	316
n02111500_8397	Great_Pyrenees	192	84	305	364
n02111500_1576	Great_Pyrenees	205	181	459	383
n02111500_9116	Great_Pyrenees	148	85	383	306
n02111500_6769	Great_Pyrenees	64	57	499	301
n02111500_337	Great_Pyrenees	0	0	404	256
n02111500_7304	Great_Pyrenees	26	89	398	348
n02111500_2081	Great_Pyrenees	137	97	464	309
n02111500_109	Great_Pyrenees	12	12	293	218
n02111500_8209	Great_Pyrenees	7	29	471	357
n02111500_6387	Great_Pyrenees	91	40	235	230
n02111500_4590	Great_Pyrenees	68	31	347	383
n02111500_2863	Great_Pyrenees	106	139	332	374
n02111500_8382	Great_Pyrenees	13	90	464	324
n02111500_8382	Great_Pyrenees	37	15	270	177
n02111500_3200	Great_Pyrenees	0	41	474	374
n02111500_2491	Great_Pyrenees	73	32	499	332
n02111500_2668	Great_Pyrenees	16	182	352	373
n02111500_5675	Great_Pyrenees	105	85	451	381
n02111500_7937	Great_Pyrenees	0	55	298	498
n02111500_870	Great_Pyrenees	1	14	283	332
n02111500_2522	Great_Pyrenees	0	50	339	273
n02111500_4147	Great_Pyrenees	190	52	357	352
n02111500_1943	Great_Pyrenees	0	136	314	333
n02111500_6792	Great_Pyrenees	0	7	493	331
n02111500_124	Great_Pyrenees	275	7	646	591
n02111500_3749	Great_Pyrenees	142	91	448	209
n02111500_9264	Great_Pyrenees	0	56	349	374
n02111500_8178	Great_Pyrenees	200	228	449	356
n02111500_8178	Great_Pyrenees	0	0	380	328
n02111500_287	Great_Pyrenees	0	0	479	278
n02111500_3011	Great_Pyrenees	65	22	463	374
n02111500_250	Great_Pyrenees	84	23	337	358
n02111500_5104	Great_Pyrenees	116	130	373	496
n02111500_5104	Great_Pyrenees	0	127	120	288
n02111500_2051	Great_Pyrenees	0	130	241	374
n02111500_9306	Great_Pyrenees	90	46	273	211
n02111500_4636	Great_Pyrenees	102	81	317	298
n02111500_2247	Great_Pyrenees	216	289	366	453
n02111500_2247	Great_Pyrenees	201	231	290	300
n02111500_5500	Great_Pyrenees	103	119	157	266
n02095314_3084	wire-haired_fox_terrier	12	11	287	226
n02095314_2198	wire-haired_fox_terrier	188	20	369	254
n02095314_2198	wire-haired_fox_terrier	19	15	175	254
n02095314_1268	wire-haired_fox_terrier	1	63	221	349
n02095314_2205	wire-haired_fox_terrier	22	33	285	249
n02095314_1917	wire-haired_fox_terrier	137	1	393	374
n02095314_1080	wire-haired_fox_terrier	53	34	229	218
n02095314_1043	wire-haired_fox_terrier	20	13	240	220
n02095314_1282	wire-haired_fox_terrier	13	3	285	230
n02095314_3495	wire-haired_fox_terrier	46	14	351	334
n02095314_1533	wire-haired_fox_terrier	0	0	359	372
n02095314_2827	wire-haired_fox_terrier	141	30	497	332
n02095314_3091	wire-haired_fox_terrier	24	15	164	151
n02095314_3052	wire-haired_fox_terrier	1	7	156	131
n02095314_2372	wire-haired_fox_terrier	111	11	525	521
n02095314_3246	wire-haired_fox_terrier	10	15	191	153
n02095314_448	wire-haired_fox_terrier	35	24	137	118
n02095314_2038	wire-haired_fox_terrier	4	1	307	306
n02095314_3483	wire-haired_fox_terrier	0	43	174	190
n02095314_138	wire-haired_fox_terrier	51	2	417	475
n02095314_662	wire-haired_fox_terrier	10	2	202	223
n02095314_105	wire-haired_fox_terrier	10	11	289	224
n02095314_1054	wire-haired_fox_terrier	55	44	239	297
n02095314_663	wire-haired_fox_terrier	39	27	183	294
n02095314_3509	wire-haired_fox_terrier	28	17	240	199
n02095314_3451	wire-haired_fox_terrier	19	62	423	395
n02095314_2564	wire-haired_fox_terrier	35	0	146	229
n02095314_464	wire-haired_fox_terrier	27	13	239	197
n02095314_289	wire-haired_fox_terrier	18	23	163	182
n02095314_3295	wire-haired_fox_terrier	100	83	307	327
n02095314_3242	wire-haired_fox_terrier	5	7	193	152
n02095314_504	wire-haired_fox_terrier	23	17	362	498
n02095314_3054	wire-haired_fox_terrier	0	1	188	140
n02095314_1866	wire-haired_fox_terrier	4	2	198	158
n02095314_3240	wire-haired_fox_terrier	5	9	388	340
n02095314_2162	wire-haired_fox_terrier	6	0	186	288
n02095314_1278	wire-haired_fox_terrier	11	13	382	317
n02095314_3321	wire-haired_fox_terrier	7	0	188	190
n02095314_1536	wire-haired_fox_terrier	4	13	210	179
n02095314_261	wire-haired_fox_terrier	56	147	325	383
n02095314_3527	wire-haired_fox_terrier	46	12	199	132
n02095314_2460	wire-haired_fox_terrier	130	2	361	363
n02095314_1814	wire-haired_fox_terrier	3	6	214	179
n02095314_1974	wire-haired_fox_terrier	81	99	329	325
n02095314_398	wire-haired_fox_terrier	41	0	155	161
n02095314_398	wire-haired_fox_terrier	144	3	277	162
n02095314_401	wire-haired_fox_terrier	25	4	219	359
n02095314_2059	wire-haired_fox_terrier	4	1	214	191
n02095314_367	wire-haired_fox_terrier	4	9	476	382
n02095314_1395	wire-haired_fox_terrier	6	8	498	309
n02095314_3227	wire-haired_fox_terrier	0	7	127	176
n02095314_2139	wire-haired_fox_terrier	36	88	185	238
n02095314_2139	wire-haired_fox_terrier	280	54	369	250
n02095314_2139	wire-haired_fox_terrier	166	1	200	40
n02100877_6926	Irish_setter	42	46	373	498
n02100877_1913	Irish_setter	0	30	352	380
n02100877_6852	Irish_setter	128	44	303	356
n02100877_4704	Irish_setter	95	27	248	217
n02100877_7033	Irish_setter	41	7	209	344
n02100877_4506	Irish_setter	31	12	354	412
n02100877_6462	Irish_setter	1	100	331	498
n02100877_1669	Irish_setter	46	0	410	373
n02100877_3056	Irish_setter	17	32	405	330
n02100877_648	Irish_setter	134	97	480	374
n02100877_6728	Irish_setter	0	11	345	483
n02100877_4895	Irish_setter	30	109	242	269
n02100877_4895	Irish_setter	188	185	400	308
n02100877_2599	Irish_setter	105	32	306	498
n02100877_8507	Irish_setter	73	6	384	498
